,시즌,날짜,시간,구장,팀 선발,T,결과,상대팀,상대선발,T.1,승리투수,패전투수,세이브,관중,성적,연도,월,홈팀
3,정규,04월 01일,18시30분,잠실,임정우,R,W 3:2,롯데,이상화,R,이동현,이정민,,14260,1-3-0,2015,4,LG
5,정규,04월 03일,18시30분,잠실,소사,R,L 3:7,삼성,클로이드,R,안지만,정찬헌,,12636,1-4-0,2015,4,LG
6,정규,04월 04일,17시,잠실,임지섭,L,W 3:2,삼성,피가로,R,임지섭,피가로,봉중근,20404,2-4-0,2015,4,LG
7,정규,04월 05일,14시,잠실,루카스,R,W 6:5,삼성,차우찬,L,정찬헌,임창용,,17472,3-4-0,2015,4,LG
11,정규,04월 10일,18시30분,잠실,임지섭,L,W 5:2,두산,니퍼트,R,김선규,김강률,봉중근,20228,5-6-0,2015,4,LG
12,정규,04월 11일,17시,잠실,루카스,R,L 6:9,두산,장원준,L,장원준,루카스,,26000,5-7-0,2015,4,LG
13,정규,04월 12일,14시,잠실,임정우,R,W 3:2,두산,유희관,L,이동현,윤명준,,22864,6-7-0,2015,4,LG
15,정규,04월 15일,18시30분,잠실,소사,R,L 4:9,KIA,양현종,L,양현종,소사,,21750,6-8-0,2015,4,LG
16,정규,04월 16일,18시30분,잠실,임지섭,L,W 10:5,KIA,임기준,L,윤지웅,최영필,,13903,7-8-0,2015,4,LG
20,정규,04월 21일,18시30분,잠실,소사,R,W 10:0,한화,유먼,L,소사,유먼,,20347,9-9-0,2015,4,LG
21,정규,04월 22일,18시30분,잠실,임지섭,L,L 2:5,한화,유창식,L,박정진,임지섭,권혁,20113,9-10-0,2015,4,LG
22,정규,04월 23일,18시30분,잠실,루카스,R,W 5:2,한화,배영수,R,루카스,배영수,이동현,21513,10-10-0,2015,4,LG
29,정규,05월 01일,18시30분,잠실,소사,R,L 1:3,넥센,송신영,R,송신영,소사,손승락,23220,13-14-0,2015,5,LG
30,정규,05월 02일,17시,잠실,장진용,R,L 3:4,넥센,밴헤켄,L,밴헤켄,장진용,손승락,22666,13-15-0,2015,5,LG
31,정규,05월 03일,14시,잠실,임지섭,L,L 2:6,넥센,한현희,RU,한현희,임지섭,,16151,13-16-0,2015,5,LG
39,정규,05월 13일,18시30분,잠실,소사,R,W 6:2,NC,찰리,R,소사,찰리,,11472,16-20-0,2015,5,LG
40,정규,05월 14일,18시30분,잠실,우규민,RU,D 0:0,NC,이재학,RU,,,,12485,16-20-1,2015,5,LG
41,정규,05월 15일,18시30분,잠실,임정우,R,L 2:5,SK,켈리,R,켈리,임정우,윤길현,12578,16-21-1,2015,5,LG
42,정규,05월 16일,17시,잠실,루카스,R,L 6:7,SK,박종훈,RU,문광은,정찬헌,윤길현,19574,16-22-1,2015,5,LG
43,정규,05월 17일,14시,잠실,류제국,R,W 6:4,SK,채병용,R,류제국,채병용,봉중근,16125,17-22-1,2015,5,LG
50,정규,05월 26일,18시30분,잠실,소사,R,W 5:2,kt,어윈,R,소사,어윈,,9156,20-26-1,2015,5,LG
51,정규,05월 27일,18시30분,잠실,우규민,RU,W 8:1,kt,정성곤,L,우규민,정성곤,,10920,21-26-1,2015,5,LG
52,정규,05월 28일,18시30분,잠실,루카스,R,L 0:4,kt,정대현,L,정대현,루카스,,10151,21-27-1,2015,5,LG
53,정규,05월 29일,18시30분,잠실,류제국,R,L 1:4,삼성,차우찬,L,차우찬,류제국,임창용,19408,21-28-1,2015,5,LG
54,정규,05월 30일,14시,잠실,장진용,R,L 1:4,삼성,클로이드,R,클로이드,임정우,임창용,18934,21-29-1,2015,5,LG
55,정규,05월 31일,14시,잠실,소사,R,L 3:9,삼성,피가로,R,피가로,소사,,22573,21-30-1,2015,5,LG
59,정규,06월 05일,18시30분,잠실,소사,R,W 3:2,SK,윤희상,R,임정우,윤길현,,7640,25-30-1,2015,6,LG
60,정규,06월 06일,17시,잠실,장진용,R,L 5:8,SK,밴와트,R,정우람,정찬헌,,12301,25-31-1,2015,6,LG
61,정규,06월 07일,17시,잠실,우규민,RU,L 0:3,SK,김광현,L,김광현,우규민,,10619,25-32-1,2015,6,LG
62,정규,06월 09일,18시30분,잠실,루카스,R,L 2:5,두산,유희관,L,유희관,루카스,,11384,25-33-1,2015,6,LG
63,정규,06월 10일,18시30분,잠실,류제국,R,W 5:1,두산,장원준,L,류제국,장원준,,11900,26-33-1,2015,6,LG
64,정규,06월 11일,18시30분,잠실,소사,R,L 0:6,두산,진야곱,L,진야곱,소사,,9316,26-34-1,2015,6,LG
68,정규,06월 16일,18시30분,잠실,류제국,R,L 3:4,KIA,양현종,L,양현종,류제국,윤석민,14827,27-37-1,2015,6,LG
69,정규,06월 17일,18시30분,잠실,소사,R,W 5:0,KIA,스틴슨,R,소사,스틴슨,,13363,28-37-1,2015,6,LG
70,정규,06월 18일,18시30분,잠실,임정우,R,W 5:3,KIA,서재응,R,정찬헌,김병현,봉중근,15285,29-37-1,2015,6,LG
77,정규,06월 26일,18시30분,잠실,루카스,R,L 3:6,NC,해커,R,해커,윤지웅,임창민,8673,32-40-1,2015,6,LG
78,정규,06월 27일,17시,잠실,류제국,R,W 9:5,NC,이재학,RU,이동현,김진성,봉중근,15734,33-40-1,2015,6,LG
79,정규,06월 28일,17시,잠실,소사,R,W 4:1,NC,스튜어트,R,소사,스튜어트,봉중근,12623,34-40-1,2015,6,LG
86,정규,07월 07일,18시30분,잠실,우규민,RU,L 6:7,롯데,레일리,L,심수창,우규민,,11966,35-45-1,2015,7,LG
87,정규,07월 08일,18시30분,잠실,루카스,R,W 1:0,롯데,송승준,R,봉중근,이성민,,10756,36-45-1,2015,7,LG
88,정규,07월 09일,18시30분,잠실,류제국,R,W 2:1,롯데,린드블럼,R,임정우,심수창,,12931,37-45-1,2015,7,LG
89,정규,07월 10일,18시30분,잠실,소사,R,L 5:8,한화,송창식,R,윤규진,이동현,,20487,37-46-1,2015,7,LG
90,정규,07월 11일,18시,잠실,장진용,R,L 3:5,한화,유먼,L,권혁,임정우,,26000,37-47-1,2015,7,LG
95,정규,07월 21일,18시30분,잠실,우규민,RU,L 1:4,넥센,밴헤켄,L,밴헤켄,우규민,손승락,8236,38-49-1,2015,7,LG
96,정규,07월 22일,18시30분,잠실,루카스,R,W 5:3,넥센,문성현,R,루카스,문성현,봉중근,7805,39-49-1,2015,7,LG
100,정규,07월 26일,18시,잠실,우규민,RU,W 9:0,kt,정대현,L,우규민,정대현,,11347,40-49-1,2015,7,LG
107,정규,08월 04일,18시30분,잠실,류제국,R,L 1:8,NC,이재학,RU,이재학,류제국,,10964,42-54-1,2015,8,LG
108,정규,08월 05일,18시30분,잠실,이준형,R,L 2:6,NC,이민호,R,이민호,이준형,,9116,42-55-1,2015,8,LG
113,정규,08월 11일,18시30분,잠실,김광삼,R,W 7:3,삼성,클로이드,R,유원상,클로이드,이동현,12607,45-57-1,2015,8,LG
114,정규,08월 12일,18시30분,잠실,우규민,RU,L 1:4,삼성,장원삼,L,장원삼,우규민,임창용,12137,45-58-1,2015,8,LG
117,정규,08월 15일,18시,잠실,류제국,R,L 1:2,KIA,양현종,L,양현종,류제국,윤석민,26000,46-60-1,2015,8,LG
119,정규,08월 17일,18시30분,잠실,우규민,RU,W 3:2,KIA,서재응,R,우규민,서재응,봉중근,11627,47-60-1,2015,8,LG
122,정규,08월 20일,18시30분,잠실,루카스,R,W 4:2,두산,장원준,L,루카스,장원준,봉중근,11400,48-62-1,2015,8,LG
123,정규,08월 21일,18시30분,잠실,류제국,R,L 1:2,두산,허준혁,L,함덕주,이동현,,12436,48-63-1,2015,8,LG
124,정규,08월 22일,18시,잠실,우규민,RU,W 4:3,넥센,금민철,L,봉중근,손승락,,13826,49-63-1,2015,8,LG
125,정규,08월 23일,18시,잠실,소사,R,W 5:4,넥센,김영민,R,임정우,오재영,,11262,50-63-1,2015,8,LG
128,정규,08월 27일,18시30분,잠실,류제국,R,L 3:6,SK,켈리,R,박정배,이동현,정우람,7752,51-64-1,2015,8,LG
129,정규,08월 28일,18시30분,잠실,우규민,RU,L 0:4,SK,세든,L,세든,우규민,,8516,51-65-1,2015,8,LG
134,정규,09월 03일,18시30분,잠실,소사,R,L 1:3,kt,저마노,R,장시환,임정우,조무근,7176,52-69-1,2015,9,LG
135,정규,09월 04일,18시30분,잠실,봉중근,L,W 8:1,kt,정대현,L,김지용,정대현,,9119,53-69-1,2015,9,LG
136,정규,09월 05일,17시,잠실,우규민,RU,L 4:9,롯데,이명우,L,이명우,우규민,,18417,53-70-1,2015,9,LG
137,정규,09월 06일,17시,잠실,루카스,R,D 1:1,롯데,박세웅,R,,,,16550,53-70-2,2015,9,LG
138,정규,09월 08일,18시30분,잠실,류제국,R,W 8:7,한화,로저스,R,임정우,권혁,,19019,54-70-2,2015,9,LG
139,정규,09월 09일,18시30분,잠실,소사,R,W 8:1,한화,송창식,R,소사,송창식,,16588,55-70-2,2015,9,LG
145,정규,09월 19일,17시,잠실,소사,R,L 5:7,넥센,밴헤켄,L,밴헤켄,소사,손승락,14195,57-74-2,2015,9,LG
146,정규,09월 20일,14시,잠실,루카스,R,W 7:3,kt,저마노,R,루카스,저마노,임정우,9286,58-74-2,2015,9,LG
147,정규,09월 21일,18시30분,잠실,류제국,R,L 1:4,kt,옥스프링,R,옥스프링,진해수,조무근,6560,58-75-2,2015,9,LG
152,정규,09월 28일,14시,잠실,우규민,RU,W 8:4,KIA,김광수,R,우규민,김광수,,23365,62-75-2,2015,9,LG
154,정규,10월 01일,18시30분,잠실,소사,R,L 2:7,NC,해커,R,해커,소사,임창민,6401,62-77-2,2015,10,LG
155,정규,10월 02일,18시30분,잠실,루카스,R,L 3:6,한화,안영명,R,안영명,루카스,송은범,16252,62-78-2,2015,10,LG
156,정규,10월 03일,14시,잠실,우규민,RU,W 5:2,롯데,이명우,L,우규민,이명우,임정우,19458,63-78-2,2015,10,LG
160,정규,04월 01일,19시,잠실,소사,R,W 5:4,한화,송은범,R,이승현,김민우,,26000,1-0-0,2016,4,LG
161,정규,04월 02일,17시,잠실,우규민,,W 8:7,한화,김재영,,최성훈,이재우,,26000,2-0-0,2016,4,LG
169,정규,04월 12일,18시30분,잠실,소사,,W 12:11,롯데,김원중,,이승현,이성민,,18615,4-4-0,2016,4,LG
170,정규,04월 13일,18시30분,잠실,우규민,,W 5:3,롯데,린드블럼,,우규민,린드블럼,이동현,21931,5-4-0,2016,4,LG
171,정규,04월 14일,18시30분,잠실,임찬규,,L 0:9,롯데,레일리,,레일리,임찬규,,13883,5-5-0,2016,4,LG
175,정규,04월 19일,18시30분,잠실,소사,,L 1:8,NC,해커,,해커,소사,,9542,7-6-0,2016,4,LG
176,정규,04월 20일,18시30분,잠실,우규민,,W 6:3,NC,스튜어트,,윤지웅,스튜어트,임정우,8216,8-6-0,2016,4,LG
177,정규,04월 21일,18시30분,잠실,이준형,,L 5:8,NC,이재학,,이재학,이준형,임창민,9695,8-7-0,2016,4,LG
184,정규,04월 29일,18시30분,잠실,이준형,,W 4:3,kt,정대현,,임정우,장시환,,12222,11-10-0,2016,4,LG
185,정규,04월 30일,17시,잠실,소사,,L 2:3,kt,마리몬,,마리몬,소사,장시환,17009,11-11-0,2016,4,LG
186,정규,05월 01일,14시,잠실,봉중근,,W 4:2,kt,정성곤,,신승현,정성곤,임정우,15632,12-11-0,2016,5,LG
188,정규,05월 04일,18시30분,잠실,우규민,,L 1:17,두산,유희관,,유희관,우규민,,23112,12-12-0,2016,5,LG
189,정규,05월 05일,14시,잠실,소사,,W 8:7,두산,보우덴,,임정우,정재훈,,26000,13-12-0,2016,5,LG
193,정규,05월 10일,18시30분,잠실,우규민,,L 3:9,삼성,김기태,,백정현,우규민,,10929,13-16-0,2016,5,LG
194,정규,05월 11일,18시30분,잠실,소사,,W 16:2,삼성,장원삼,,소사,장원삼,,14214,14-16-0,2016,5,LG
195,정규,05월 12일,18시30분,잠실,이준형,,L 5:7,삼성,윤성환,,윤성환,이준형,심창민,15132,14-17-0,2016,5,LG
196,정규,05월 13일,18시30분,잠실,류제국,,W 2:1,SK,켈리,,류제국,켈리,임정우,11718,15-17-0,2016,5,LG
197,정규,05월 14일,17시,잠실,코프랜드,,W 12:3,SK,박종훈,,코프랜드,박종훈,,20872,16-17-0,2016,5,LG
202,정규,05월 20일,18시30분,잠실,코프랜드,,W 4:3,넥센,박주현,,이승현,이보근,임정우,13230,20-17-0,2016,5,LG
203,정규,05월 21일,17시,잠실,우규민,,L 5:7,넥센,양훈,,하영민,우규민,김세현,20759,20-18-0,2016,5,LG
204,정규,05월 22일,17시,잠실,소사,,W 5:4,넥센,신재영,,소사,김택형,임정우,15878,21-18-0,2016,5,LG
211,정규,05월 31일,18시30분,잠실,이준형,,D 6:6,KIA,양현종,,,,,18624,22-22-1,2016,5,LG
212,정규,06월 01일,18시30분,잠실,코프랜드,,L 1:5,KIA,헥터,,헥터,코프랜드,,18435,22-23-1,2016,6,LG
213,정규,06월 02일,18시30분,잠실,류제국,,W 9:1,KIA,지크,,류제국,지크,,19053,23-23-1,2016,6,LG
217,정규,06월 07일,18시30분,잠실,코프랜드,,L 5:8,삼성,차우찬,,차우찬,임정우,심창민,10954,24-26-1,2016,6,LG
218,정규,06월 08일,18시30분,잠실,류제국,,W 12:6,삼성,정인욱,,류제국,정인욱,,13350,25-26-1,2016,6,LG
219,정규,06월 09일,18시30분,잠실,소사,,W 10:4,삼성,장원삼,,소사,장원삼,,13260,26-26-1,2016,6,LG
223,정규,06월 14일,18시30분,잠실,소사,,L 7:10,NC,이민호,,김선규,임정우,,9537,27-29-1,2016,6,LG
225,정규,06월 16일,18시30분,잠실,류제국,,L 0:3,NC,스튜어트,,스튜어트,류제국,임창민,12349,27-30-1,2016,6,LG
226,정규,06월 17일,18시30분,잠실,우규민,,L 3:6,KIA,양현종,,양현종,우규민,홍건희,18993,27-31-1,2016,6,LG
227,정규,06월 18일,17시,잠실,코프랜드,,W 7:1,KIA,헥터,,코프랜드,헥터,,26000,28-31-1,2016,6,LG
228,정규,06월 19일,17시,잠실,소사,,L 5:9,KIA,지크,,지크,소사,,20341,28-32-1,2016,6,LG
232,정규,06월 24일,18시30분,잠실,장진용,,W 9:7,넥센,금민철,,이동현,이보근,임정우,10361,30-34-1,2016,6,LG
233,정규,06월 25일,17시,잠실,소사,,L 6:8,넥센,최원태,,김세현,임정우,오재영,17594,30-35-1,2016,6,LG
234,정규,06월 26일,17시,잠실,류제국,,W 2:1,넥센,맥그레거,,류제국,맥그레거,신승현,14900,31-35-1,2016,6,LG
239,정규,07월 02일,18시,잠실,소사,,L 2:4,SK,김광현,,문광은,임정우,박희수,14584,32-38-1,2016,7,LG
240,정규,07월 03일,18시,잠실,류제국,,L 7:9,SK,박종훈,,박종훈,류제국,박희수,10481,32-39-1,2016,7,LG
247,정규,07월 12일,18시30분,잠실,유경국,,W 5:4,한화,송신영,,유원상,권혁,임정우,16357,34-43-1,2016,7,LG
248,정규,07월 13일,18시30분,잠실,소사,,L 5:7,한화,송은범,,카스티요,신승현,,19533,34-44-1,2016,7,LG
249,정규,07월 14일,18시30분,잠실,류제국,,L 4:7,한화,서캠프,,송창식,류제국,,22056,34-45-1,2016,7,LG
253,정규,07월 22일,18시30분,잠실,류제국,,L 3:14,두산,니퍼트,,니퍼트,류제국,,16696,35-48-1,2016,7,LG
254,정규,07월 23일,18시,잠실,유경국,,W 9:7,두산,허준혁,,이동현,정재훈,임정우,19570,36-48-1,2016,7,LG
255,정규,07월 24일,18시,잠실,소사,,L 2:3,두산,장원준,,장원준,소사,이현승,17715,36-49-1,2016,7,LG
256,정규,07월 26일,18시30분,잠실,우규민,,L 10:12,롯데,레일리,,박진형,우규민,손승락,13000,36-50-1,2016,7,LG
257,정규,07월 27일,18시30분,잠실,허프,,W 7:1,롯데,박세웅,,허프,박세웅,,11056,37-50-1,2016,7,LG
258,정규,07월 28일,18시30분,잠실,류제국,,W 5:2,롯데,린드블럼,,류제국,린드블럼,임정우,15065,38-50-1,2016,7,LG
265,정규,08월 05일,18시30분,잠실,소사,,W 12:1,kt,로위,,소사,로위,,9368,43-52-1,2016,8,LG
266,정규,08월 06일,18시,잠실,우규민,,W 4:1,kt,피어밴드,,우규민,피어밴드,임정우,12101,44-52-1,2016,8,LG
267,정규,08월 07일,18시,잠실,허프,,W 10:4,kt,박세진,,허프,박세진,,9343,45-52-1,2016,8,LG
270,정규,08월 11일,18시30분,잠실,소사,,W 4:2,NC,최금강,,소사,최금강,임정우,9725,48-52-1,2016,8,LG
271,정규,08월 12일,18시30분,잠실,우규민,,W 6:5,NC,구창모,,정현욱,임창민,,10845,49-52-1,2016,8,LG
274,정규,08월 16일,18시30분,잠실,임찬규,R,W 11:4,SK,라라,L,임찬규,라라,,7841,50-54-1,2016,8,LG
275,정규,08월 17일,18시30분,잠실,소사,,L 6:10,SK,윤희상,,김주한,소사,,8189,50-55-1,2016,8,LG
276,정규,08월 18일,18시30분,잠실,우규민,,L 5:8,한화,서캠프,,박정진,우규민,정우람,15394,50-56-1,2016,8,LG
277,정규,08월 19일,18시30분,잠실,허프,,W 3:2,한화,이태양,,허프,이태양,임정우,16496,51-56-1,2016,8,LG
284,정규,08월 27일,18시,잠실,임찬규,,W 4:2,kt,로위,,임찬규,로위,임정우,16454,56-58-1,2016,8,LG
285,정규,08월 28일,18시,잠실,소사,,L 4:11,kt,주권,,주권,소사,,11950,56-59-1,2016,8,LG
292,정규,09월 06일,18시30분,잠실,봉중근,,W 5:2,넥센,박주현,,김지용,오주원,임정우,9582,58-64-1,2016,9,LG
293,정규,09월 07일,18시30분,잠실,류제국,,W 11:0,넥센,신재영,,류제국,신재영,,9037,59-64-1,2016,9,LG
294,정규,09월 08일,18시30분,잠실,임찬규,,L 2:4,두산,보우덴,,보우덴,이동현,홍상삼,15200,59-65-1,2016,9,LG
295,정규,09월 09일,18시30분,잠실,소사,,W 10:4,두산,장원준,,소사,장원준,,18255,60-65-1,2016,9,LG
296,정규,09월 10일,17시,잠실,이준형,,W 9:6,롯데,박세웅,,최성훈,박세웅,,20524,61-65-1,2016,9,LG
297,정규,09월 11일,14시,잠실,봉중근,,W 12:8,롯데,레일리,,김지용,윤길현,,17413,62-65-1,2016,9,LG
300,정규,09월 15일,14시,잠실,허프,,W 5:3,KIA,양현종,,허프,양현종,임정우,26000,64-66-1,2016,9,LG
301,정규,09월 16일,14시,잠실,우규민,,W 3:1,KIA,헥터,,우규민,헥터,임정우,26000,65-66-1,2016,9,LG
302,정규,09월 17일,14시,잠실,봉중근,,W 3:2,삼성,차우찬,,임찬규,장원삼,,22719,66-66-1,2016,9,LG
303,정규,09월 18일,14시,잠실,류제국,,W 5:0,삼성,플란데,,류제국,플란데,,20240,67-66-1,2016,9,LG
305,정규,09월 21일,18시30분,잠실,허프,,D 1:1,NC,장현식,,,,,10686,68-66-2,2016,9,LG
306,정규,09월 24일,17시,잠실,류제국,,L 7:12,한화,이태양,,심수창,우규민,,22625,68-67-2,2016,9,LG
308,정규,09월 30일,18시30분,잠실,소사,,L 3:5,SK,켈리,,김광현,김지용,,14045,69-68-2,2016,9,LG
309,정규,10월 01일,17시,잠실,류제국,,L 0:5,SK,윤희상,,윤희상,류제국,,21161,69-69-2,2016,10,LG
313,정규,10월 08일,17시,잠실,임찬규,,L 1:11,두산,보우덴,,니퍼트,임찬규,,26000,71-71-2,2016,10,LG
314,정규,10월 25일,18시30분,잠실,우규민,,L 3:8,NC,해커,,해커,허프,,25000,71-72-2,2016,10,LG
325,정규,04월 04일,18시30분,잠실,차우찬,L,W 11:0,삼성,장원삼,L,차우찬,장원삼,,16411,4-0-0,2017,4,LG
327,정규,04월 06일,18시30분,잠실,소사,R,W 4:0,삼성,페트릭,R,소사,페트릭,,12166,5-0-0,2017,4,LG
334,정규,04월 14일,18시30분,잠실,류제국,R,W 5:2,kt,정대현,L,류제국,정대현,신정락,9710,7-5-0,2017,4,LG
335,정규,04월 15일,17시,잠실,임찬규,R,L 0:1,kt,피어밴드,L,피어밴드,정찬헌,김재윤,17337,7-6-0,2017,4,LG
336,정규,04월 16일,14시,잠실,차우찬,L,W 12:5,kt,주권,R,차우찬,주권,,15224,8-6-0,2017,4,LG
340,정규,04월 21일,18시30분,잠실,임찬규,R,W 6:2,KIA,팻딘,L,정찬헌,팻딘,신정락,23263,10-8-0,2017,4,LG
341,정규,04월 22일,17시,잠실,차우찬,L,L 4:5,KIA,양현종,L,양현종,차우찬,임창용,25000,10-9-0,2017,4,LG
342,정규,04월 23일,14시,잠실,소사,R,W 7:1,KIA,정동현,L,소사,정동현,,25000,11-9-0,2017,4,LG
343,정규,04월 25일,18시30분,잠실,김대현,R,L 3:8,SK,다이아몬드,L,다이아몬드,김대현,,10004,11-10-0,2017,4,LG
344,정규,04월 26일,18시30분,잠실,류제국,R,W 9:0,SK,윤희상,R,류제국,윤희상,,10730,12-10-0,2017,4,LG
345,정규,04월 27일,18시30분,잠실,임찬규,R,W 4:2,SK,문승원,R,임찬규,문승원,정찬헌,11111,13-10-0,2017,4,LG
349,정규,05월 02일,18시30분,잠실,류제국,R,L 1:2,NC,최금강,R,최금강,류제국,임창민,14887,15-12-0,2017,5,LG
350,정규,05월 03일,14시,잠실,임찬규,R,W 13:0,NC,구창모,L,임찬규,구창모,,20180,16-12-0,2017,5,LG
